0.6263,0.9814,0.4904,"{0: 0.38519, 1: 0.47468, 2: 0.32903, 3: 0.95506, 4: 0.35227, 5: 0.30818, 6: 0.35897, 7: 0.49306, 8: 0, 9: 0.75676}",OO,RF25_buffer40,10,"['b1_mean', 'b3_mean', 'b2_mean']"
0.3075,0.5467,0.1909,"{0: 0.12683, 1: 0.17347, 2: 0.10101, 3: 0.125, 4: 0.125, 5: 0.24865, 6: 0.10759, 7: 0.30539, 8: 0, 9: 0.40496}",PB,RF25_buffer40,/,"['b2', 'b3']"
0.7099,0.9831,0.5867,"{0: 0.47482, 1: 0.59559, 2: 0.40385, 3: 0.97701, 4: 0.41358, 5: 0.47482, 6: 0.35849, 7: 0.73228, 8: 0, 9: 0.85}",OO,RF25_buffer40,10,"['b3_mean', 'b1_mean', 'B11_mean', 'B12_mean', 'b2_mean', 'B5_mean', 'B4_mean', 'B2_mean', 'B3_mean', 'B6_mean', 'B8_mean', 'B7_mean', 'B8A_mean']"
0.5215,0.9841,0.3776,"{0: 0.32222, 1: 0.34014, 2: 0.19075, 3: 0.57778, 4: 0.29648, 5: 0.34969, 6: 0.16564, 7: 0.53472, 8: 0, 9: 0.62069}",PB,RF25_buffer40,/,"['B11', 'B12', 'B2', 'B4', 'b3', 'b2', 'B5', 'B3', 'B6', 'B8', 'B8A', 'B7']"
0.757,0.9845,0.6382,"{0: 0.52113, 1: 0.59231, 2: 0.5034, 3: 1.0, 4: 0.50658, 5: 0.50704, 6: 0.48611, 7: 0.80342, 8: 0, 9: 0.82353}",OO,RF25_buffer40,10,"['MNDWI_MAX_mean', 'SMMI_MAX_mean', 'NMDI_mean', 'b3_mean', 'NMDI_MAX_mean', 'SMMI_STD_mean', 'NDVI_STD_mean', 'MNDWI_STD_mean', 'EVI_MAX_mean', 'NDBI_STD_mean', 'GRVI_mean', 'b1_mean', 'NMDI_STD_mean', 'b2_mean', 'GRVI_MAX_mean', 'GRVI_STD_mean', 'EVI_STD_mean', 'MNDWI_mean', 'BSI_MAX_mean', 'SMMI_mean', 'BSI_STD_mean', 'B11_mean', 'B12_mean', 'BSI_mean', 'NDBI_MAX_mean', 'B5_mean', 'NDVI_mean', 'EVI_mean', 'NDBI_mean', 'B3_mean', 'NDVI_MAX_mean', 'B7_mean', 'B4_mean', 'B8_mean', 'B2_mean', 'B8A_mean', 'B6_mean']"
0.6452,0.9875,0.5093,"{0: 0.40373, 1: 0.43226, 2: 0.31169, 3: 0.79545, 4: 0.42424, 5: 0.41216, 6: 0.2956, 7: 0.69291, 8: 0, 9: 0.81553}",PB,RF25_buffer40,/,"['SMMI_STD', 'MNDWI_MAX', 'SMMI_MAX', 'MNDWI_STD', 'GRVI_STD', 'GRVI', 'NDBI_STD', 'b3', 'GRVI_MAX', 'NDBI_MAX', 'BSI_STD', 'B12', 'EVI_MAX', 'EVI_STD', 'BSI_MAX', 'MNDWI', 'b2', 'SMMI', 'B11', 'EVI', 'B2', 'BSI', 'NDBI', 'B6', 'B5', 'B3', 'B7', 'B4', 'B8A', 'B8']"
0.743,0.9842,0.6237,"{0: 0.49635, 1: 0.57971, 2: 0.48701, 3: 1.0, 4: 0.48684, 5: 0.46259, 6: 0.44755, 7: 0.81197, 8: 0, 9: 0.84158}",OO,RF25_buffer40,10,"['MNDWI_MAX_mean', 'SMMI_MAX_mean', 'b3_mean', 'NMDI_MAX_mean', 'MNDWI_STD_mean', 'SMMI_STD_mean', 'EVI_STD_mean', 'b2_mean', 'NDVI_STD_mean', 'HUE_NMDI_mean', 'EVI_MAX_mean', 'b1_mean', 'HUE_NDVI_mean', 'SAT_NMDI_mean', 'NMDI_mean', 'HUE_BSI_mean', 'NMDI_STD_mean', 'HUE_NDBI_mean', 'HUE_GRVI_mean', 'VAL_GRVI_mean', 'SAT_GRVI_mean', 'SAT_NDVI_mean', 'NDBI_STD_mean', 'VAL_NMDI_mean', 'MNDWI_mean', 'GRVI_mean', 'NDBI_MAX_mean', 'SAT_NDBI_mean', 'GRVI_STD_mean', 'B7_mean', 'NDVI_MAX_mean', 'B12_mean', 'B8A_mean', 'BSI_STD_mean', 'GRVI_MAX_mean', 'EVI_mean', 'SMMI_mean', 'SAT_BSI_mean', 'B11_mean', 'NDBI_mean', 'B2_mean', 'BSI_MAX_mean', 'B3_mean', 'B6_mean', 'VAL_NDVI_mean', 'NDVI_mean', 'B8_mean', 'VAL_NDBI_mean', 'VAL_BSI_mean', 'B5_mean', 'B4_mean', 'BSI_mean']"
0.6774,0.9872,0.5439,"{0: 0.46104, 1: 0.46622, 2: 0.38926, 3: 0.81395, 4: 0.44242, 5: 0.4183, 6: 0.33775, 7: 0.72581, 8: 0, 9: 0.84}",PB,RF25_buffer40,/,"['MNDWI_MAX', 'SMMI_MAX', 'VAL_NMDI', 'SMMI_STD', 'MNDWI_STD', 'HUE_NDVI', 'b3', 'HUE_GRVI', 'SAT_NMDI', 'GRVI_MAX', 'HUE_NMDI', 'HUE_NDBI', 'SAT_GRVI', 'SAT_NDBI', 'NDBI_MAX', 'b2', 'HUE_BSI', 'VAL_GRVI', 'GRVI', 'NDBI_STD', 'BSI_STD', 'GRVI_STD', 'EVI_STD', 'B11', 'BSI_MAX', 'B12', 'MNDWI', 'B2', 'SMMI', 'VAL_NDVI', 'B6', 'B5', 'SAT_BSI', 'EVI_MAX', 'B3', 'B7', 'B4', 'B8A', 'SAT_NDVI', 'VAL_NDBI', 'VAL_BSI', 'BSI', 'NDBI', 'EVI', 'B8']"
0.7645,0.9845,0.6472,"{0: 0.53788, 1: 0.6194, 2: 0.47973, 3: 0.98837, 4: 0.51592, 5: 0.53571, 6: 0.48571, 7: 0.81034, 8: 0, 9: 0.85149}",OO,RF25_buffer40,10,"['SMMI_MAX_mean', 'MNDWI_MAX_mean', 'SMMI_STD_mean', 'b3_mean', 'gray_ent', 'gray_idm', 'VAL_NMDI_mean', 'gray_contrast', 'MNDWI_STD_mean', 'HUE_NMDI_mean', 'NMDI_MAX_mean', 'gray_corr', 'gray_var', 'HUE_GRVI_mean', 'HUE_NDVI_mean', 'gray_asm', 'HUE_NDBI_mean', 'HUE_BSI_mean', 'SAT_NMDI_mean', 'gray_savg', 'VAL_GRVI_mean', 'NMDI_STD_mean', 'NMDI_mean', 'SAT_BSI_mean', 'SAT_NDVI_mean', 'MNDWI_mean', 'NDVI_STD_mean', 'b2_mean', 'BSI_STD_mean', 'BSI_MAX_mean', 'EVI_MAX_mean', 'b1_mean', 'NDBI_STD_mean', 'VAL_NDVI_mean', 'NDBI_MAX_mean', 'EVI_STD_mean', 'B7_mean', 'B12_mean', 'B2_mean', 'SAT_GRVI_mean', 'B8A_mean', 'GRVI_MAX_mean', 'GRVI_mean', 'B6_mean', 'SMMI_mean', 'GRVI_STD_mean', 'SAT_NDBI_mean', 'EVI_mean', 'NDVI_MAX_mean', 'BSI_mean', 'VAL_BSI_mean', 'B11_mean', 'B8_mean', 'VAL_NDBI_mean', 'B5_mean', 'NDBI_mean', 'NDVI_mean', 'B4_mean', 'B3_mean']"
0.6774,0.9872,0.5439,"{0: 0.46104, 1: 0.46622, 2: 0.38926, 3: 0.81395, 4: 0.44242, 5: 0.4183, 6: 0.33775, 7: 0.72581, 8: 0, 9: 0.84}",PB,RF25_buffer40,/,"['MNDWI_MAX', 'SMMI_MAX', 'VAL_NMDI', 'SMMI_STD', 'MNDWI_STD', 'HUE_NDVI', 'b3', 'HUE_GRVI', 'SAT_NMDI', 'GRVI_MAX', 'HUE_NMDI', 'HUE_NDBI', 'SAT_GRVI', 'SAT_NDBI', 'NDBI_MAX', 'b2', 'HUE_BSI', 'VAL_GRVI', 'GRVI', 'NDBI_STD', 'BSI_STD', 'GRVI_STD', 'EVI_STD', 'B11', 'BSI_MAX', 'B12', 'MNDWI', 'B2', 'SMMI', 'VAL_NDVI', 'B6', 'B5', 'SAT_BSI', 'EVI_MAX', 'B3', 'B7', 'B4', 'B8A', 'SAT_NDVI', 'VAL_NDBI', 'VAL_BSI', 'BSI', 'NDBI', 'EVI', 'B8']"
